title,author,avg_rating,rating_count,year_published,genre
Milk and honey (Paperback),Rupi Kaur,3.96,"791,621",2014,poetry
Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.35,"1,495,267",1974,poetry
The Sun and Her Flowers (Paperback),Rupi Kaur,4.08,"370,169",2018,poetry
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,3.82,"158,105",2016,poetry
Leaves of Grass (Paperback),Walt Whitman,4.11,"115,706",1855,poetry
Ariel (Paperback),Sylvia Plath,4.19,"88,182",1965,poetry
Night Sky with Exit Wounds (Paperback),Ocean Vuong,4.17,"49,030",2016,poetry
The Complete Poems of Emily Dickinson (Paperback),Emily Dickinson,4.28,"106,300",1890,poetry
The Odyssey (Paperback),Homer,3.83,"1,174,052",-700,poetry
A Light in the Attic (Hardcover),Shel Silverstein,4.36,"473,618",1981,poetry
Howl and Other Poems (Hardcover),Allen Ginsberg,4.13,"118,399",1956,poetry
Crush (Paperback),Richard Siken,4.34,"41,784",2005,poetry
Beowulf (Paperback),Beowulf Poet,3.50,"342,565",1000,poetry
Paradise Lost (Paperback),John Milton,3.85,"180,127",1667,poetry
Home Body (Paperback),Rupi Kaur,4.06,"155,569",2020,poetry
Twenty Love Poems and a Song of Despair (Paperback),Pablo Neruda,4.20,"80,833",1924,poetry
The Poet X (Kindle Edition),Elizabeth Acevedo,4.37,"140,475",2018,poetry
The Iliad (Hardcover),Homer,3.93,"502,760",-800,poetry
The Waste Land and Other Poems (Paperback),T.S. Eliot,4.22,"73,401",1922,poetry
Shakespeare's Sonnets (Paperback),William Shakespeare,4.25,"111,612",1609,poetry
Les Fleurs du Mal (Paperback),Charles Baudelaire,4.19,"79,241",1857,poetry
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.73,"48,956",2018,poetry
Devotions: The Selected Poems of Mary Oliver (Hardcover),Mary Oliver,4.56,"28,019",2017,poetry
The Prophet (Paperback),Kahlil Gibran,4.23,"325,217",1923,poetry
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.40,"293,798",1849,poetry
A Thousand Mornings: Poems (Hardcover),Mary Oliver,4.20,"31,129",2012,poetry
Citizen: An American Lyric (Paperback),Claudia Rankine,4.25,"51,384",2014,poetry
