title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport,features_text,top_keywords,popularity,scaled_rating,cluster,rating_scaled,year_scaled
$100M Offers,Alex Hormozi,4.54,13,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$100M Offers Other ,"offers, 100m, yeats, 015, 김지영, zone, zonal, zombie",2.6390573296152584,0.885,5,0.885,0.9985840707964602
101 Essays That Will Change The Way You Think,Brianna Wiest,4.11,800,2018,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101 Essays That Will Change The Way You Think Other ,"101, essays, change, think, way, 김지영, zone, zonal",6.68586094706836,0.7775000000000001,1,0.7775000000000001,0.9975221238938053
1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,4.05,0,2005,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1491: New Revelations of the Americas Before Columbus (Paperback) non-fiction ,"revelations, columbus, americas, 1491, new, non, paperback, fiction",0.0,0.7625,3,0.7625,0.9929203539823009
168 Hours: You Have More Time Than You Think (Hardcover),Laura Vanderkam,3.6,0,2010,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,168 Hours: You Have More Time Than You Think (Hardcover) non-fiction ,"168, hours, think, time, non, hardcover, fiction, 김지영",0.0,0.65,3,0.65,0.9946902654867257
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.18,0,1968,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2001: A Space Odyssey (Space Odyssey, #1) science ","odyssey, space, 2001, science, 15th, yeats, 015, 김지영",0.0,0.7949999999999999,0,0.7949999999999999,0.9798230088495575
21 Lessons for the 21st Century (Hardcover),Yuval Noah Harari,4.16,0,2018,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21 Lessons for the 21st Century (Hardcover) non-fiction ,"21st, century, 21, lessons, non, hardcover, fiction, zonal",0.0,0.79,3,0.79,0.9975221238938053
21 Things You May Not Know About the Indian Act (Paperback),Bob Joseph,4.57,0,2018,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21 Things You May Not Know About the Indian Act (Paperback) non-fiction ,"act, 21, indian, know, things, non, paperback, fiction",0.0,0.8925000000000001,3,0.8925000000000001,0.9975221238938053
22 cells in Nuremberg,Douglas McGlashan Kelley,4.5,8,1947,"Other, history",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"22 cells in Nuremberg Other, history ","nuremberg, cells, 22, history, 김지영, zone, zonal, zombie",2.1972245773362196,0.875,5,0.875,0.9723893805309735
28 Summers (Hardcover),Elin Hilderbrand,4.18,0,2020,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28 Summers (Hardcover) romance ,"summers, 28, romance, hardcover, 015, 김지영, zone, zonal",0.0,0.7949999999999999,4,0.7949999999999999,0.9982300884955753
"4:50 from Paddington (Miss Marple, #7)",Agatha Christie,3.97,0,1957,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4:50 from Paddington (Miss Marple, #7) Other ","paddington, 50, marple, miss, yeats, 015, 김지영, zone",0.0,0.7425,0,0.7425,0.975929203539823
50 Fifty Shades of Grey,E. L. James,3.95,13938,2000,"Other, bestseller, fiction, literature, romance",1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,"50 Fifty Shades of Grey Other, bestseller, fiction, literature, romance ","50, grey, shades, bestseller, literature, romance, fiction, zone",9.542445945729886,0.7375,2,0.7375,0.9911504424778761
777 and Other Qabalistic Writings of Aleister Crowley (Paperback),Aleister Crowley,4.04,0,1973,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,777 and Other Qabalistic Writings of Aleister Crowley (Paperback) spiritual/religious ,"qabalistic, 777, crowley, aleister, writings, religious, spiritual, paperback",0.0,0.76,0,0.76,0.9815929203539823
"7th Circle (Hades, #1)",Tate James,4.34,0,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7th Circle (Hades, #1) Other ","circle, 7th, hades, 김지영, zone, zonal, zombie, zodiac",0.0,0.835,0,0.835,0.9985840707964602
82년생 김지영 (Hardcover),Cho Nam-Joo,4.16,0,2016,activism,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82년생 김지영 (Hardcover) activism ,"김지영, 82년생, activism, hardcover, zone, zonal, zombie, zodiac",0.0,0.79,0,0.79,0.9968141592920354
"84, Charing Cross Road (Paperback)",Helene Hanff,4.16,0,1970,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"84, Charing Cross Road (Paperback) non-fiction ","charing, 84, cross, road, non, paperback, fiction, zone",0.0,0.79,3,0.79,0.9805309734513274
A Billion Wicked Thoughts: What the World's Largest Experiment Reveals about Human Desire (Hardcover),Sai Gaddam,3.83,0,2011,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Billion Wicked Thoughts: What the World's Largest Experiment Reveals about Human Desire (Hardcover) Other ,"largest, billion, reveals, experiment, thoughts, desire, wicked, human",0.0,0.7075,0,0.7075,0.9950442477876106
A Brief History of Time,Stephen Hawking,4.12,14144,1988,"Other, bestseller, literature, other",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"A Brief History of Time Other, bestseller, literature, other ","brief, time, bestseller, history, literature, 김지영, zone, zonal",9.557116483735667,0.78,2,0.78,0.9869026548672566
