title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport
$100M Offers,Alex Hormozi,4.54,13,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Essays That Will Change The Way You Think,Brianna Wiest,4.11,800,2018,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,4.05,0,2005,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168 Hours: You Have More Time Than You Think (Hardcover),Laura Vanderkam,3.6,0,2010,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.18,0,1968,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21 Lessons for the 21st Century (Hardcover),Yuval Noah Harari,4.16,0,2018,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21 Things You May Not Know About the Indian Act (Paperback),Bob Joseph,4.57,0,2018,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22 cells in Nuremberg,Douglas McGlashan Kelley,4.5,8,1947,"Other, history",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28 Summers (Hardcover),Elin Hilderbrand,4.18,0,2020,romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4:50 from Paddington (Miss Marple, #7)",Agatha Christie,3.97,0,1957,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50 Fifty Shades of Grey,E. L. James,3.95,13938,2000,"Other, bestseller, fiction, literature, romance",1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
777 and Other Qabalistic Writings of Aleister Crowley (Paperback),Aleister Crowley,4.04,0,1973,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7th Circle (Hades, #1)",Tate James,4.34,0,2021,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82년생 김지영 (Hardcover),Cho Nam-Joo,4.16,0,2016,activism,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84, Charing Cross Road (Paperback)",Helene Hanff,4.16,0,1970,non-fiction,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Billion Wicked Thoughts: What the World's Largest Experiment Reveals about Human Desire (Hardcover),Sai Gaddam,3.83,0,2011,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Brief History of Time,Stephen Hawking,4.12,14144,1988,"Other, bestseller, literature, other",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
A Brief History of Time (Paperback),Stephen Hawking,4.21,0,1988,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"A Caribbean Mystery (Miss Marple, #9)",Agatha Christie,3.85,0,1964,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Christmas Carol,Charles Dickens,3.9400000000000004,14758,1843,"Other, children/young adult, fantasy, fiction, history, literature, science",1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
A Christmas Carol (Paperback),Charles Dickens,4.09,0,1843,"guide, non-fiction",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
