title,author,avg_rating,rating_count,year_published,genre
Milk and honey (Paperback),Rupi Kaur,3.96,"791,989",2014,poetry
Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.35,"1,495,575",1974,poetry
The Sun and Her Flowers (Paperback),Rupi Kaur,4.08,"370,348",2018,poetry
"The Princess Saves Herself in This One (Women Are Some Kind of Magic, #1)",Amanda Lovelace,3.82,"158,157",2016,poetry
Leaves of Grass (Paperback),Walt Whitman,4.11,"115,726",1855,poetry
Ariel (Paperback),Sylvia Plath,4.19,"88,228",1965,poetry
Night Sky with Exit Wounds (Paperback),Ocean Vuong,4.17,"49,058",2016,poetry
The Complete Poems of Emily Dickinson (Paperback),Emily Dickinson,4.28,"106,318",1890,poetry
The Odyssey (Paperback),Homer,3.83,"1,174,568",-700,poetry
A Light in the Attic (Hardcover),Shel Silverstein,4.36,"473,702",1981,poetry
Howl and Other Poems (Hardcover),Allen Ginsberg,4.13,"118,424",1956,poetry
Crush (Paperback),Richard Siken,4.34,"41,800",2005,poetry
Beowulf (Paperback),Beowulf Poet,3.50,"342,694",1000,poetry
Paradise Lost (Paperback),John Milton,3.85,"180,191",1667,poetry
Home Body (Paperback),Rupi Kaur,4.06,"155,651",2020,poetry
Twenty Love Poems and a Song of Despair (Paperback),Pablo Neruda,4.20,"80,857",1924,poetry
The Poet X (Kindle Edition),Elizabeth Acevedo,4.37,"140,519",2018,poetry
The Iliad (Hardcover),Homer,3.93,"502,968",-800,poetry
The Waste Land and Other Poems (Paperback),T.S. Eliot,4.22,"73,425",1922,poetry
Shakespeare's Sonnets (Paperback),William Shakespeare,4.25,"111,642",1609,poetry
Les Fleurs du Mal (Paperback),Charles Baudelaire,4.19,"79,288",1857,poetry
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.73,"48,970",2018,poetry
Devotions: The Selected Poems of Mary Oliver (Hardcover),Mary Oliver,4.56,"28,059",2017,poetry
The Prophet (Paperback),Kahlil Gibran,4.23,"325,314",1923,poetry
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,4.40,"293,864",1849,poetry
A Thousand Mornings: Poems (Hardcover),Mary Oliver,4.20,"31,147",2012,poetry
Citizen: An American Lyric (Paperback),Claudia Rankine,4.25,"51,399",2014,poetry
"If Not, Winter: Fragments of Sappho (Paperback)",Sappho,4.43,"21,305",-550,poetry
Time Is a Mother (Hardcover),Ocean Vuong,3.92,"35,612",2022,poetry
Songs of Innocence and of Experience (Paperback),William Blake,4.09,"51,574",1794,poetry
Inferno (Kindle Edition),Dante Alighieri,4.03,"203,584",1320,poetry
Letters to a Young Poet (Paperback),Rainer Maria Rilke,4.28,"118,245",1929,poetry
The Collected Poems (Paperback),Sylvia Plath,4.25,"50,404",1981,poetry
Autobiography of Red (Paperback),Anne Carson,4.25,"35,543",1998,poetry
The Waste Land (Paperback),T.S. Eliot,4.11,"58,600",1922,poetry
The Raven (Paperback),Edgar Allan Poe,4.29,"166,672",1845,poetry
The Essential Rumi (Paperback),Coleman Barks,,,,poetry
Teaching My Mother How to Give Birth (Paperback),Warsan Shire,4.24,"21,292",2011,poetry
Salt (Paperback),Nayyirah Waheed,4.22,"25,171",2013,poetry
The Divine Comedy: Inferno - Purgatorio - Paradiso (Hardcover),Dante Alighieri,4.08,"169,950",1320,poetry
Falling Up (Hardcover),Shel Silverstein,4.36,"157,116",1996,poetry
Bluets (Paperback),Maggie Nelson,4.05,"56,362",2009,poetry
"Pillow Thoughts (Pillow Thoughts, #1)",Courtney Peppernell,3.81,"54,804",2017,poetry
Bright Dead Things (Paperback),Ada Limon,4.19,"14,176",2015,poetry
Violet Bent Backwards Over the Grass (Audible Audio),Lana Del Rey,3.99,"60,835",2020,poetry
The Collected Poems of W.B. Yeats (Paperback),W.B. Yeats,4.23,"39,926",1933,poetry
Love & Misadventure (Paperback),Lang Leav,3.93,"58,218",2013,poetry
The Poetry of Robert Frost (Paperback),Robert Frost,4.24,"49,149",1969,poetry
Brown Girl Dreaming (Hardcover),Jacqueline Woodson,4.15,"92,473",2014,poetry
Call Us What We Carry (Hardcover),Amanda Gorman,4.26,"26,059",2021,poetry
,,,,,poetry
,,,,,poetry
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,4.40,"3,970,874",2017,adult
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,4.17,"1,452,821",2020,adult
Gone Girl (Paperback),Gillian Flynn,4.14,"3,402,833",2012,adult
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,"2,834,421",2011,adult
Beach Read (Paperback),Emily Henry,3.97,"1,589,274",2020,adult
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,"2,704,991",1996,adult
