title,author,avg_rating,rating_count,year_published,genre
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Habit
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Habit breaking
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Behavior modification
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Self-actualization (psychology)
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Business
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,psychology
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,Personal Growth
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,New York Times bestseller
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,BUSINESS & ECONOMICS / Organizational Behavior
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,PSYCHOLOGY / Social Psychology
Kebiasaan Atom,James Clear,3.9855306,1244.0,2016.0,SELF-HELP / Personal Growth / General.
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Business
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Control (Psychology)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Contrôle (Psychologie)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Pouvoir (Morale)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Nonfiction
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Power (Philosophy)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Self-Improvement
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Conduct of life
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Contrãole (Psychologie
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Political Science
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Abridged Audio - Misc. Nonfiction
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Politics/International Relations
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,History & Theory - General
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Political Science / History & Theory
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Audiobooks
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Political science & theory
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Psychology
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Contrôle (Psychologie.)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Pouvoir (Morale.)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,BUSINESS & ECONOMICS
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Leadership
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Motivational
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,SELF-HELP
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Personal Growth
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Success
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Macht
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Nutzung
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Gesellschaft
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Zwischenmenschliche Beziehung
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Power (Social sciences)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Power (Psychology)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Control (Philosophy)
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,poder
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,influência
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,manipulação
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,liderança
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,ambição
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,jogo
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,persuasão
The 48 Laws of Power,Robert Greene,4.012915,1084.0,1998.0,Philosophy and ethics
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,Self-help
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,personal development
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,emotional intelligence
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,mindfulness
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,meditation
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,cognitive behavioral therapy
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,CBT
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,anxiety
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,depression
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,anger management
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,stress management
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,positive thinking
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,self-control
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,mental health
Control Your Mind and Master Your Feelings,Eric Robertson,3.8059702,536.0,2019.0,emotional well-being
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Rich people
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Personal Finance
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investments
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Finanzas personales
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Inversiones
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Ricos
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Riqueza
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Financial security
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Success
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Financiering
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Huishoudingen
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,"Finance, personal"
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Hacienda privada
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Spanish language materials
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investissements
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Portfolios (financial records)
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Finanças privadas
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investimentos
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Finances personnelles
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Riches
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Comportement
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investissement
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Riche
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Hindi language
I Don't Love You Anymore,Rithvik Singh,3.5691056,246.0,2024.0,Poetry
I Don't Love You Anymore,Rithvik Singh,3.5691056,246.0,2024.0,Love poetry
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ghosts
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Monsters
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Vampires
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Witches
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Challenges and Overcoming Obstacles
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magic and Supernatural
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Cleverness
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,School Life
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,school stories
